_H:	|batch	|epoch	$train_mode	%avg_sse	%Output_act_m	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%V1h_cos_err	%V1h_cos_err_prv	%V1h_cos_err_vs_prv	%V2h_cos_err	%V2h_cos_err_prv	%V2h_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%sem_V2m_act_avg	%sem_V2h_act_avg	%V1h_Fm_V2h_netrel	%V1h_Ctxt_Fm_V1h_l_netrel	%V2h_Fm_V1h_l_netrel	%V2h_Ctxt_Fm_V1h_l_netrel	%V2h_Ctxt_Fm_V2h_netrel	%V2h_Fm_Output_netrel	%Output_Fm_V2h_netrel	%V1h_netmax	%V2h_netmax	%Output_netmax
_D:	0	1	"TRAIN"	42.0274	0.178728	290	0.0297204	0.241334	0.485458	-0.244124	0.23329	0.469276	-0.235986	0.23329	0.469276	-0.235986	0	50	17.13	22.38	0	0.000203495	1	0	0.788276	0	0	0.211724	0.989655	0.547375	0.387166	0.148949
_D:	0	2	"TRAIN"	32.0276	0.492672	290	0.0305436	0.571896	0.512061	0.0598355	0.562929	0.510286	0.0526424	0.562929	0.510286	0.0526424	0	50	16.02	21.57	0	0.000511149	1	0	0.798642	0	0	0.201358	1	0.648102	0.507786	0.245773
_D:	0	3	"TRAIN"	37.4105	0.662689	290	0.0346998	0.546582	0.514963	0.0316188	0.548004	0.515197	0.032807	0.548004	0.515197	0.032807	0	50	16.22	21.68	0	0.00065444	1	0	0.759796	0	0	0.240204	1	0.629704	0.505957	0.299556
_D:	0	4	"TRAIN"	43.6511	0.560059	290	0.0419241	0.558109	0.497578	0.0605317	0.560384	0.49921	0.0611737	0.560384	0.49921	0.0611737	0	50	16.16	21.16	0	0.000875421	1	0	0.790801	0	0	0.209199	1	0.862836	0.605191	0.378606
_D:	0	5	"TRAIN"	51.8131	0.726662	290	0.0486291	0.509419	0.501164	0.00825468	0.513016	0.500572	0.012445	0.513016	0.500572	0.012445	0	50	16.28	21.66	0	0.000956598	1	0	0.773088	0	0	0.226912	1	0.697471	0.543676	0.334627
_D:	0	6	"TRAIN"	37.7922	0.581428	290	0.0373788	0.595268	0.498907	0.0963612	0.592225	0.497827	0.0943984	0.592225	0.497827	0.0943984	0	50	16.15	21.26	0	0.00104332	1	0	0.753433	0	0	0.246567	1	0.890318	0.618281	0.408768
_D:	0	7	"TRAIN"	39.5047	0.603997	290	0.0415694	0.627761	0.509354	0.118408	0.628297	0.507825	0.120472	0.628297	0.507825	0.120472	0	50	16.24	21.65	0	0.00110375	1	0	0.756635	0	0	0.243365	1	0.700896	0.553602	0.363499
_D:	0	8	"TRAIN"	36.823	0.435452	290	0.0354825	0.597556	0.509162	0.0883946	0.599936	0.509075	0.090861	0.599936	0.509075	0.090861	0	50	16.12	21.13	0	0.00115101	1	0	0.759674	0	0	0.240326	1	0.856086	0.632591	0.370846
_D:	0	9	"TRAIN"	58.9812	0.670536	290	0.058043	0.525768	0.499222	0.0265459	0.529122	0.498546	0.0305761	0.529122	0.498546	0.0305761	0	50	16.17	21.41	0	0.00115608	1	0	0.762858	0	0	0.237142	1	0.709316	0.587803	0.407092
_D:	0	10	"TRAIN"	38.4304	0.424401	290	0.040176	0.636792	0.51255	0.124242	0.634695	0.511119	0.123576	0.634695	0.511119	0.123576	0	50	15.97	21.17	0	0.00124184	1	0	0.763311	0	0	0.236689	1	0.76843	0.613839	0.351279
_D:	0	11	"TRAIN"	36.4036	0.577074	290	0.0363206	0.606337	0.520331	0.0860063	0.60618	0.518748	0.0874322	0.60618	0.518748	0.0874322	0	50	16.23	21.66	0	0.00129355	1	0	0.728589	0	0	0.271411	1	0.662737	0.539531	0.375151
_D:	0	12	"TRAIN"	28.6186	0.662981	290	0.0307112	0.681456	0.525999	0.155458	0.679996	0.525561	0.154436	0.679996	0.525561	0.154436	0	50	16.05	21.09	0	0.00132943	1	0	0.732904	0	0	0.267096	1	0.759528	0.576767	0.332469
_D:	0	13	"TRAIN"	25.6193	0.698704	290	0.0277194	0.710277	0.494687	0.21559	0.70914	0.495808	0.213332	0.70914	0.495808	0.213332	0	50	16.37	21.34	0	0.00137405	1	0	0.733474	0	0	0.266526	1	0.670239	0.546494	0.351015
_D:	0	14	"TRAIN"	23.3214	0.737588	290	0.0276461	0.744785	0.512835	0.231951	0.742045	0.510215	0.231829	0.742045	0.510215	0.231829	0	50	16.27	21.21	0	0.00146622	1	0	0.715105	0	0	0.284895	1	0.740346	0.580248	0.385399
_D:	0	15	"TRAIN"	20.618	0.811392	290	0.0252439	0.774789	0.473474	0.301314	0.773434	0.474632	0.298802	0.773434	0.474632	0.298802	0	50	16.39	21.81	0	0.00154364	1	0	0.710598	0	0	0.289402	1	0.674611	0.537737	0.396253
_D:	0	16	"TRAIN"	16.8135	0.735868	290	0.0204726	0.787295	0.536509	0.250786	0.785744	0.532579	0.253165	0.785744	0.532579	0.253165	0	50	16.23	21.25	0	0.00160827	1	0	0.700358	0	0	0.299642	1	0.672276	0.560335	0.357799
_D:	0	17	"TRAIN"	19.6232	0.607794	290	0.02409	0.760339	0.513132	0.247207	0.761023	0.512725	0.248298	0.761023	0.512725	0.248298	0	50	16.07	21.09	0	0.00167971	1	0	0.701505	0	0	0.298495	1	0.69779	0.559461	0.374129
_D:	0	18	"TRAIN"	14.1689	0.77923	290	0.0189251	0.830048	0.497721	0.332326	0.828495	0.49853	0.329965	0.828495	0.49853	0.329965	0	50	16.34	21.6	0	0.0017262	1	0	0.698369	0	0	0.301631	1	0.665903	0.546613	0.375097
_D:	0	19	"TRAIN"	13.1556	0.785827	290	0.0181124	0.842112	0.495985	0.346127	0.840663	0.494442	0.346221	0.840663	0.494442	0.346221	0	50	16.26	21.67	0	0.0017057	1	0	0.698483	0	0	0.301517	1	0.673065	0.543258	0.382087
_D:	0	20	"TRAIN"	12.6341	0.765764	290	0.0173057	0.840417	0.502446	0.33797	0.839616	0.500992	0.338623	0.839616	0.500992	0.338623	0	50	16.22	21.29	0	0.00175482	1	0	0.694489	0	0	0.305511	1	0.675628	0.543044	0.382367
