_H:	|batch	|epoch	$train_mode	|trial	|tick	$trial_name	$obj	$rot	$output_name	%minus_cycles	%sse	%norm_err	%cos_err	%cos_err_prv	%cos_err_vs_prv	%V1h_cos_err	%V1h_cos_err_prv	%V1h_cos_err_vs_prv	%V2h_cos_err	%V2h_cos_err_prv	%V2h_cos_err_vs_prv	%Output_act_m	%ext_rew
_D:	0	0	"TRAIN"	1	1	"4_S+T+"	"02"	"012"	""	50	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	0	0	"TRAIN"	2	2	"4_S+T+"	"02"	"024"	""	50	39.758	0.0299479	0.210872	0	0.210872	0.210872	0	0.210872	0	0	0	1.97352e-07	0
_D:	0	0	"TRAIN"	3	3	"4_S+T+"	"02"	"036"	""	50	34.0367	0.0256076	0.270172	0.409513	-0.13934	0.270172	0.409513	-0.13934	0	0	0	0.000550603	0
_D:	0	0	"TRAIN"	4	4	"4_S+T+"	"02"	"048"	""	50	31.7591	0.0225694	0.307921	0.284951	0.0229693	0.307921	0.284951	0.0229693	0	0	0	1.92485e-06	0
_D:	0	0	"TRAIN"	5	5	"4_S+T+"	"02"	"060"	""	50	31.2362	0.0234375	0.250038	0.385531	-0.135493	0.250038	0.385531	-0.135493	0	0	0	0.00101742	0
_D:	0	0	"TRAIN"	6	6	"4_S+T+"	"02"	"072"	""	50	28.5863	0.0182292	0.281124	0.617755	-0.336631	0.281124	0.617755	-0.336631	0	0	0	0.0394766	0
_D:	0	0	"TRAIN"	7	7	"4_S+T+"	"02"	"084"	""	50	26.8524	0.0186632	0.302586	0.384368	-0.0817814	0.302586	0.384368	-0.0817814	0	0	0	0.00481401	0
_D:	0	0	"TRAIN"	8	8	"4_S+T+"	"02"	"096"	""	50	32.4439	0.0230035	0.244152	0.41235	-0.168198	0.244152	0.41235	-0.168198	0	0	0	0.00157122	0
_D:	0	0	"TRAIN"	9	9	"4_S+T+"	"02"	"108"	""	50	38.351	0.0264757	0.184141	0.441348	-0.257207	0.184141	0.441348	-0.257207	0	0	0	0.0438387	0
_D:	0	0	"TRAIN"	10	10	"4_S+T+"	"02"	"120"	""	50	42.8241	0.030816	0.179061	0.450399	-0.271337	0.179061	0.450399	-0.271337	0	0	0	0.0380824	0
_D:	0	0	"TRAIN"	11	11	"4_S+T+"	"02"	"132"	""	50	47.8516	0.0338542	0.190237	0.574813	-0.384576	0.190237	0.574813	-0.384576	0	0	0	0.00604392	0
_D:	0	0	"TRAIN"	12	12	"4_S+T+"	"02"	"144"	""	50	49.6953	0.0347222	0.2121	0.706306	-0.494206	0.2121	0.706306	-0.494206	0	0	0	0.0796804	0
_D:	0	0	"TRAIN"	13	13	"4_S+T+"	"02"	"156"	""	50	51.9641	0.0368924	0.201253	0.714002	-0.512749	0.201253	0.714002	-0.512749	0	0	0	0.0604439	0
_D:	0	0	"TRAIN"	14	14	"4_S+T+"	"02"	"168"	""	50	47.6294	0.0329861	0.223931	0.718208	-0.494277	0.223931	0.718208	-0.494277	0	0	0	0.03997	0
_D:	0	0	"TRAIN"	15	15	"4_S+T+"	"02"	"180"	""	50	44.4634	0.0321181	0.234059	0.673158	-0.439099	0.234059	0.673158	-0.439099	0	0	0	0.074838	0
_D:	0	0	"TRAIN"	16	16	"4_S+T+"	"02"	"192"	""	50	40.5866	0.030816	0.251873	0.522601	-0.270727	0.251873	0.522601	-0.270727	0	0	0	0.0924811	0
_D:	0	0	"TRAIN"	17	17	"4_S+T+"	"02"	"204"	""	50	36.9788	0.030816	0.278342	0.47242	-0.194078	0.278342	0.47242	-0.194078	0	0	0	0.0881194	0
_D:	0	0	"TRAIN"	18	18	"4_S+T+"	"02"	"216"	""	50	33.405	0.0251736	0.268331	0.413058	-0.144727	0.268331	0.413058	-0.144727	0	0	0	0.114102	0
_D:	0	0	"TRAIN"	19	19	"4_S+T+"	"02"	"228"	""	50	31.8505	0.0230035	0.302523	0.287953	0.0145694	0.302523	0.287953	0.0145694	0	0	0	0.0713209	0
_D:	0	0	"TRAIN"	20	20	"4_S+T+"	"02"	"240"	""	50	32.3591	0.0251736	0.252221	0.432587	-0.180366	0.252221	0.432587	-0.180366	0	0	0	0.057684	0
_D:	0	0	"TRAIN"	21	21	"4_S+T+"	"02"	"252"	""	50	30.1864	0.0195312	0.220155	0.635684	-0.415529	0.220155	0.635684	-0.415529	0	0	0	0.0150958	0
_D:	0	0	"TRAIN"	22	22	"4_S+T+"	"02"	"264"	""	50	27.6286	0.0190972	0.269056	0.414216	-0.145159	0.269056	0.414216	-0.145159	0	0	0	0.00695865	0
_D:	0	0	"TRAIN"	23	23	"4_S+T+"	"02"	"276"	""	50	31.0537	0.0225694	0.245755	0.405986	-0.160231	0.245755	0.405986	-0.160231	0	0	0	0.0237673	0
_D:	0	0	"TRAIN"	24	24	"4_S+T+"	"02"	"288"	""	50	33.7376	0.0234375	0.206239	0.444774	-0.238536	0.206239	0.444774	-0.238536	0	0	0	0.0313314	0
_D:	0	0	"TRAIN"	25	25	"4_S+T+"	"02"	"300"	""	50	39.2077	0.0299479	0.273783	0.471832	-0.198049	0.273783	0.471832	-0.198049	0	0	0	0.251452	0
_D:	0	0	"TRAIN"	26	26	"4_S+T+"	"02"	"312"	""	50	46.3749	0.0360243	0.24414	0.584028	-0.339888	0.24414	0.584028	-0.339888	0	0	0	0.094789	0
_D:	0	0	"TRAIN"	27	27	"4_S+T+"	"02"	"324"	""	50	47.8277	0.0364583	0.283002	0.634723	-0.351722	0.283002	0.634723	-0.351722	0	0	0	0.600232	0
_D:	0	0	"TRAIN"	28	28	"4_S+T+"	"02"	"336"	""	50	45.1145	0.0355903	0.328906	0.713425	-0.384519	0.328906	0.713425	-0.384519	0	0	0	0.755355	0
_D:	0	0	"TRAIN"	29	29	"4_S+T+"	"02"	"348"	""	50	39.1098	0.0299479	0.342026	0.720525	-0.378499	0.342026	0.720525	-0.378499	0	0	0	0.709983	0
_D:	0	0	"TRAIN"	30	30	"4_S+T+"	"02"	"000"	""	50	39.4212	0.0303819	0.300946	0.643252	-0.342306	0.300946	0.643252	-0.342306	0	0	0	0.520295	0
_D:	0	1	"TRAIN"	1	1	"4_S+T+"	"01"	"012"	""	50	0	0	0	0	0	0.300946	0.643252	-0.342306	0	0	0	0.798146	0
_D:	0	1	"TRAIN"	2	2	"4_S+T+"	"01"	"024"	""	50	46.5503	0.0481771	0.486794	0.229072	0.257723	0.486794	0.229072	0.257723	0	0	0	0.840405	0
_D:	0	1	"TRAIN"	3	3	"4_S+T+"	"01"	"036"	""	50	46.9441	0.0533854	0.545135	0.502445	0.0426903	0.545135	0.502445	0.0426903	0	0	0	0.882235	0
_D:	0	1	"TRAIN"	4	4	"4_S+T+"	"01"	"048"	""	50	48.7966	0.0594618	0.55414	0.551754	0.00238657	0.55414	0.551754	0.00238657	0	0	0	0.886234	0
_D:	0	1	"TRAIN"	5	5	"4_S+T+"	"01"	"060"	""	50	47.9114	0.0520833	0.577611	0.527911	0.0496997	0.577611	0.527911	0.0496997	0	0	0	0.892941	0
_D:	0	1	"TRAIN"	6	6	"4_S+T+"	"01"	"072"	""	50	43.943	0.0512153	0.615076	0.533387	0.0816889	0.615076	0.533387	0.0816889	0	0	0	0.891802	0
_D:	0	1	"TRAIN"	7	7	"4_S+T+"	"01"	"084"	""	50	41.2979	0.0503472	0.659926	0.489256	0.17067	0.659926	0.489256	0.17067	0	0	0	0.895494	0
_D:	0	1	"TRAIN"	8	8	"4_S+T+"	"01"	"096"	""	50	37.7761	0.0416667	0.674339	0.499317	0.175022	0.674339	0.499317	0.175022	0	0	0	0.895579	0
_D:	0	1	"TRAIN"	9	9	"4_S+T+"	"01"	"108"	""	50	38.7896	0.0429688	0.63978	0.425827	0.213953	0.63978	0.425827	0.213953	0	0	0	0.89262	0
_D:	0	1	"TRAIN"	10	10	"4_S+T+"	"01"	"120"	""	50	45.6203	0.0499132	0.56501	0.302907	0.262103	0.56501	0.302907	0.262103	0	0	0	0.884486	0
_D:	0	1	"TRAIN"	11	11	"4_S+T+"	"01"	"132"	""	50	40.5823	0.0416667	0.572851	0.415827	0.157024	0.572851	0.415827	0.157024	0	0	0	0.859457	0
_D:	0	1	"TRAIN"	12	12	"4_S+T+"	"01"	"144"	""	50	39.531	0.0442708	0.571829	0.421278	0.150551	0.571829	0.421278	0.150551	0	0	0	0.852631	0
_D:	0	1	"TRAIN"	13	13	"4_S+T+"	"01"	"156"	""	50	36.8363	0.0338542	0.593528	0.472044	0.121485	0.593528	0.472044	0.121485	0	0	0	0.864688	0
